,Index,tweet_id,text,predictions,label_final
0,2086847,/1087396834983710720,"This bill will help create more clean, American-made energy and jobs while also preserving environmental standards.",1,0
1,2515081,/1443686324079370240,Dollar Tree raising prices on some items to above $1 How can Pres Biden still claim inflation not happening? Pres Biden: u can’t spend $6 trillion it’s like throwing gasoline on the inflation fires,1,1
2,1669195,/860200304272436992,Dems will speak in a few short minutes on the GOP?Ä?s vote to kick 24 million off health coverage. #Trumpcare TUNE IN: https://goo.gl/Bj5Qoi,1,1
3,1620114,/913877794651869184,Tom Price abused the public trust. He sabotaged the #ACA. Looks like he paid the price.,1,1
4,2109489,/1210245440102383616,"The Left wants to take your guns, and they’re not even hiding it anymore. #2A",1,0
5,2710428,/1403048998311706629,"BREAKING: @POTUS is lifting sanctions on over a dozen former Iranians and energy firms. This, combined with handing Russia the #NordStream2 pipeline, signals Biden Admin's willingness to hand American energy independence away to malign foreign powers. ",1,0
6,2987203,/1409268692857262090,"Once again, American history is being denigrated by woke leftists. We will not stand for this. Are the leftists trying to destroy this country?",1,1
7,2695832,/1580360099763060738,"This vote tally is a thunderous win for Ukraine, the USA, and the free world. It’s a searing defeat for Russia. And it’s a deep disappointment from India, the world’s biggest democracy. ",1,1
8,2707557,/1442574174384320512,New Bill Alert Democrats want to keep paying people to stay home instead of work. My Back to Work Act would pump the brakes on their proposal.  We don’t need policies that drag down the economy and make people more reliant on government. ,1,0
9,2099292,/1107803437217923072,"As @SpeakerPelosi says: ""A budget is a statement of values.""Eliminating the Public Service Loan Forgiveness Program will both decrease opportunities for graduates and deter them from entering a life of #PublicService.Trump’s budget is a blueprint to sabatoge America’s future. ",1,1
10,1241488,/1036663974140497920,"Unions and workers are under attack from a Republican President and a Congress focused on further enriching the wealthy at the expense of everyone else. This #LaborDay, it is more important than ever that we honor working people with action.",1,1
11,1239016,/836399975491850240,"Real American leadership, real American power, is not shown by our ability to blow things up, but by our ability to bring parties together.",1,0
12,2770133,/1502799097702531072,The first time ever we became energy independent was in the Trump Administration because our policies made sense. We were actually leveraging American strength—that's America First.We need to regain that independence and demonstrate American strength now. ,1,0
13,3089308,/1437522875150442496,"""Biden is comfortable attacking Americans but deeply uncomfortable confronting enemies who would like to kill us.""A must-read from Newt Gingrich:",1,1
14,2435287,/1214241380073123841,"I believe in the doctrine of maintaining peace through strength. @realdonaldtrump understands that doctrine very clearly. He is talking tough because these times call for it. Rather than undermining @POTUS, we ought be united against what is a very serious aggressor in Iran ",1,0
15,2472673,/1126625673248944129,"Tonight, the House voted on a bill claiming to protect people with preexisting conditions but in reality it only perpetuates the endless, partisan messaging war that does nothing to fix the current instability of our health care system.",1,1
16,2991910,/1429556994948665359,"Make no mistake, China and Russia will take great advantage of President Biden’s bungled exit.",1,0
17,2326114,/1268312898029395971,"""Never did I dream that troops taking that same oath would be ordered under any circumstance to violate the Constitutional rights of their fellow citizens.""“We must reject and hold accountable those in office who would make a mockery of our Constitution.""",1,0
18,2913313,/1414670562664779778,The high inflation rate is making Americans fearful of the future. Inflation has risen to its highest level since June 2013 and continues to hurt consumers’ wallets. More here:,1,1
19,1846910,/1184181773162483712,"Today is the last day of Hispanic Heritage Month, when we recognize and celebrate the contributions of Hispanic and Latinx Americans. Here in Orange County, we know from firsthand experience that our communities are made stronger by diversity.",1,0
20,1576358,/931179435797213184,My office's phones continue to be flooded this morning with overwhelming opposition to the #GOPTaxScam. I refuse to vote for a bill that will ransack  middle class families.,1,1
21,1894412,/1204776632646586368,"Gun violence tears apart another community and my heart aches for its victims. But this mass shooting, like others, may be fueled by hate. We can't continue to do nothing as gun violence, anti-Semitism and discrimination rise, leaving more dead behind.",1,1
